SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  40
DISK1_MAX :  60
DISK2_MIN :  50
DISK2_MAX :  70
15164 Job 462  finishes at Disk 1
15167 Job 1050 arrives
15167 Job 683  finishes at CPU
15180 Job 1051 arrives
15184 Job 684  finishes at CPU
15196 Job 282  finishes at CPU
15197 Job 432  finishes at Disk 2
15198 Job 1052 arrives
15210 Job 1053 arrives
15214 Job 685  finishes at CPU
15218 Job 188  finishes at Disk 1
15220 Job 1054 arrives
15233 Job 686  finishes at CPU
15235 Job 1055 arrives
15243 Job 20   finishes at CPU
15243 Job 20   finishes
15246 Job 1056 arrives
15249 Job 82   finishes at Disk 2
15253 Job 687  finishes at CPU
15261 Job 1057 arrives
15272 Job 688  finishes at CPU
15275 Job 464  finishes at Disk 1
15280 Job 1058 arrives
15290 Job 21   finishes at CPU
15291 Job 1059 arrives
15303 Job 689  finishes at CPU
15303 Job 689  finishes
15305 Job 1060 arrives
15315 Job 308  finishes at CPU
15316 Job 433  finishes at Disk 2
15320 Job 1061 arrives
15321 Job 467  finishes at Disk 1
15325 Job 690  finishes at CPU
15337 Job 1062 arrives
15338 Job 691  finishes at CPU
15338 Job 691  finishes
15355 Job 1063 arrives
15357 Job 692  finishes at CPU
15367 Job 287  finishes at CPU
15370 Job 438  finishes at Disk 2
15373 Job 1064 arrives
15375 Job 189  finishes at Disk 1
15377 Job 127  finishes at CPU
15385 Job 1065 arrives
15394 Job 693  finishes at CPU
15394 Job 693  finishes
15403 Job 1066 arrives
15413 Job 694  finishes at CPU
15418 Job 1067 arrives
15425 Job 695  finishes at CPU
15426 Job 439  finishes at Disk 2
15434 Job 469  finishes at Disk 1
15435 Job 1068 arrives
15440 Job 290  finishes at CPU
15451 Job 696  finishes at CPU
15453 Job 1069 arrives
15463 Job 133  finishes at CPU
15471 Job 1070 arrives
15479 Job 697  finishes at CPU
15489 Job 1071 arrives
15490 Job 698  finishes at CPU
15491 Job 83   finishes at Disk 2
15491 Job 470  finishes at Disk 1
15507 Job 1072 arrives
15507 Job 291  finishes at CPU
15517 Job 699  finishes at CPU
15517 Job 699  finishes
15523 Job 1073 arrives
15535 Job 313  finishes at CPU
15539 Job 1074 arrives
15546 Job 700  finishes at CPU
15548 Job 16   finishes at Disk 2
15548 Job 36   finishes at Disk 1
15551 Job 1075 arrives
15558 Job 701  finishes at CPU
15558 Job 701  finishes
15570 Job 1076 arrives
15575 Job 702  finishes at CPU
15582 Job 1077 arrives
15588 Job 703  finishes at CPU
15591 Job 473  finishes at Disk 1
15593 Job 1078 arrives
15602 Job 445  finishes at Disk 2
15603 Job 314  finishes at CPU
15611 Job 1079 arrives
15613 Job 119  finishes at CPU
15622 Job 1080 arrives
15629 Job 704  finishes at CPU
15629 Job 704  finishes
15641 Job 192  finishes at Disk 1
15641 Job 1081 arrives
15648 Job 705  finishes at CPU
15653 Job 1082 arrives
15663 Job 706  finishes at CPU
15663 Job 706  finishes
15667 Job 446  finishes at Disk 2
15669 Job 1083 arrives
15673 Job 315  finishes at CPU
15679 Job 1084 arrives
15690 Job 707  finishes at CPU
15690 Job 707  finishes
15692 Job 1085 arrives
15699 Job 477  finishes at Disk 1
15703 Job 122  finishes at CPU
15710 Job 1086 arrives
15717 Job 708  finishes at CPU
15719 Job 447  finishes at Disk 2
15728 Job 709  finishes at CPU
15729 Job 1087 arrives
15741 Job 1088 arrives
15744 Job 193  finishes at Disk 1
15747 Job 317  finishes at CPU
15754 Job 1089 arrives
15757 Job 710  finishes at CPU
15765 Job 1090 arrives
15769 Job 711  finishes at CPU
15779 Job 1091 arrives
15779 Job 712  finishes at CPU
15787 Job 449  finishes at Disk 2
15791 Job 480  finishes at Disk 1
15793 Job 1092 arrives
15795 Job 301  finishes at CPU
15805 Job 137  finishes at CPU
15810 Job 1093 arrives
15820 Job 713  finishes at CPU
15820 Job 713  finishes
15827 Job 1094 arrives
15831 Job 714  finishes at CPU
15843 Job 1095 arrives
15847 Job 715  finishes at CPU
15848 Job 482  finishes at Disk 1
15854 Job 80   finishes at Disk 2
15859 Job 1096 arrives
15861 Job 716  finishes at CPU
15861 Job 716  finishes
15876 Job 319  finishes at CPU
15877 Job 1097 arrives
15894 Job 123  finishes at CPU
15895 Job 1098 arrives
15907 Job 208  finishes at Disk 1
15908 Job 1099 arrives
15913 Job 717  finishes at CPU
15913 Job 717  finishes
15918 Job 454  finishes at Disk 2
15927 Job 1100 arrives
15929 Job 718  finishes at CPU
15945 Job 1101 arrives
15946 Job 719  finishes at CPU
15946 Job 719  finishes
15956 Job 194  finishes at Disk 1
15962 Job 1102 arrives
15962 Job 720  finishes at CPU
15962 Job 720  finishes
15974 Job 456  finishes at Disk 2
15974 Job 1103 arrives
15974 Job 138  finishes at CPU
15974 Job 138  finishes
15989 Job 1104 arrives
15992 Job 303  finishes at CPU
16005 Job 1105 arrives
16005 Job 721  finishes at CPU
16009 Job 485  finishes at Disk 1
16016 Job 722  finishes at CPU
16024 Job 1106 arrives
16026 Job 723  finishes at CPU
16036 Job 1107 arrives
16041 Job 457  finishes at Disk 2
16044 Job 323  finishes at CPU
16049 Job 486  finishes at Disk 1
16053 Job 1108 arrives
16060 Job 724  finishes at CPU
16065 Job 1109 arrives
16076 Job 304  finishes at CPU
16079 Job 1110 arrives
16088 Job 725  finishes at CPU
16094 Job 198  finishes at Disk 1
16098 Job 1111 arrives
16101 Job 726  finishes at CPU
16110 Job 197  finishes at Disk 2
16115 Job 1112 arrives
16118 Job 140  finishes at CPU
16131 Job 727  finishes at CPU
16133 Job 1113 arrives
16141 Job 306  finishes at CPU
16144 Job 490  finishes at Disk 1
16144 Job 1114 arrives
16155 Job 1115 arrives
16158 Job 728  finishes at CPU
16160 Job 461  finishes at Disk 2
16167 Job 1116 arrives
16176 Job 729  finishes at CPU
16183 Job 1117 arrives
16186 Job 326  finishes at CPU
16190 Job 491  finishes at Disk 1
16198 Job 1118 arrives
16205 Job 730  finishes at CPU
16215 Job 463  finishes at Disk 2
16215 Job 1119 arrives
16223 Job 731  finishes at CPU
16233 Job 1120 arrives
16233 Job 307  finishes at CPU
16238 Job 494  finishes at Disk 1
16243 Job 732  finishes at CPU
16245 Job 1121 arrives
16255 Job 1122 arrives
16256 Job 733  finishes at CPU
16272 Job 734  finishes at CPU
16274 Job 1123 arrives
16277 Job 465  finishes at Disk 2
16279 Job 200  finishes at Disk 1
16288 Job 1124 arrives
16291 Job 327  finishes at CPU
16291 Job 327  finishes
16302 Job 1125 arrives
16307 Job 735  finishes at CPU
16313 Job 1126 arrives
16317 Job 309  finishes at CPU
16317 Job 309  finishes
16330 Job 1127 arrives
16330 Job 736  finishes at CPU
16335 Job 466  finishes at Disk 2
16337 Job 497  finishes at Disk 1
16340 Job 737  finishes at CPU
16344 Job 1128 arrives
16350 Job 738  finishes at CPU
16357 Job 1129 arrives
16366 Job 132  finishes at CPU
16372 Job 1130 arrives
16384 Job 739  finishes at CPU
16384 Job 739  finishes
16387 Job 1131 arrives
16392 Job 93   finishes at Disk 1
16398 Job 740  finishes at CPU
16399 Job 1132 arrives
16401 Job 203  finishes at Disk 2
16408 Job 310  finishes at CPU
16410 Job 1133 arrives
16422 Job 1134 arrives
16423 Job 741  finishes at CPU
16437 Job 328  finishes at CPU
16439 Job 1135 arrives
16441 Job 499  finishes at Disk 1
16450 Job 742  finishes at CPU
16456 Job 1136 arrives
16460 Job 468  finishes at Disk 2
16465 Job 743  finishes at CPU
16465 Job 743  finishes
16468 Job 1137 arrives
16481 Job 217  finishes at Disk 1
16481 Job 1138 arrives
16483 Job 744  finishes at CPU
16483 Job 744  finishes
16495 Job 1139 arrives
16500 Job 311  finishes at CPU
16510 Job 1140 arrives
16512 Job 135  finishes at CPU
16516 Job 471  finishes at Disk 2
16522 Job 1141 arrives
16523 Job 745  finishes at CPU
16533 Job 1142 arrives
16540 Job 94   finishes at Disk 1
16541 Job 746  finishes at CPU
16551 Job 1143 arrives
16557 Job 747  finishes at CPU
16562 Job 1144 arrives
16574 Job 332  finishes at CPU
16574 Job 1145 arrives
16577 Job 472  finishes at Disk 2
16587 Job 1146 arrives
16592 Job 504  finishes at Disk 1
16592 Job 748  finishes at CPU
16598 Job 1147 arrives
16603 Job 312  finishes at CPU
16610 Job 1148 arrives
16617 Job 749  finishes at CPU
16617 Job 749  finishes
16620 Job 1149 arrives
16629 Job 750  finishes at CPU
16635 Job 1150 arrives
16640 Job 334  finishes at CPU
16640 Job 334  finishes
16642 Job 205  finishes at Disk 2
16644 Job 505  finishes at Disk 1
16652 Job 1151 arrives
16656 Job 751  finishes at CPU
16656 Job 751  finishes
16671 Job 1152 arrives
16674 Job 7    finishes at CPU
16684 Job 1153 arrives
16690 Job 506  finishes at Disk 1
16692 Job 752  finishes at CPU
16694 Job 475  finishes at Disk 2
16700 Job 1154 arrives
16705 Job 753  finishes at CPU
16716 Job 1155 arrives
16718 Job 144  finishes at CPU
16718 Job 144  finishes
16730 Job 1156 arrives
16733 Job 39   finishes at Disk 1
16736 Job 754  finishes at CPU
16741 Job 1157 arrives
16749 Job 478  finishes at Disk 2
16750 Job 755  finishes at CPU
16751 Job 1158 arrives
16767 Job 1159 arrives
16769 Job 316  finishes at CPU
16769 Job 316  finishes
16780 Job 1160 arrives
16782 Job 336  finishes at CPU
16784 Job 510  finishes at Disk 1
16798 Job 1161 arrives
16798 Job 756  finishes at CPU
16808 Job 1162 arrives
16809 Job 207  finishes at Disk 2
16813 Job 757  finishes at CPU
16827 Job 3    finishes at Disk 1
16827 Job 1163 arrives
16830 Job 758  finishes at CPU
16837 Job 1164 arrives
16842 Job 759  finishes at CPU
16855 Job 1165 arrives
16856 Job 338  finishes at CPU
16856 Job 338  finishes
16864 Job 481  finishes at Disk 2
16866 Job 1166 arrives
16875 Job 318  finishes at CPU
16875 Job 318  finishes
16877 Job 1167 arrives
16878 Job 206  finishes at Disk 1
16891 Job 760  finishes at CPU
16891 Job 1168 arrives
16891 Job 760  finishes
16905 Job 1169 arrives
16910 Job 761  finishes at CPU
16910 Job 761  finishes
16918 Job 1170 arrives
16920 Job 483  finishes at Disk 2
16929 Job 762  finishes at CPU
16935 Job 513  finishes at Disk 1
16936 Job 1171 arrives
16946 Job 763  finishes at CPU
16946 Job 1172 arrives
16960 Job 1173 arrives
16962 Job 55   finishes at CPU
16976 Job 1174 arrives
16978 Job 764  finishes at CPU
16986 Job 484  finishes at Disk 2
16989 Job 91   finishes at Disk 1
16989 Job 129  finishes at CPU
16992 Job 1175 arrives
17006 Job 765  finishes at CPU
17006 Job 1176 arrives
17022 Job 766  finishes at CPU
17022 Job 1177 arrives
17035 Job 1178 arrives
17036 Job 209  finishes at Disk 2
17039 Job 224  finishes at Disk 1
17041 Job 767  finishes at CPU
17041 Job 767  finishes
17051 Job 1179 arrives
17052 Job 341  finishes at CPU
17062 Job 1180 arrives
17069 Job 768  finishes at CPU
17069 Job 768  finishes
17075 Job 1181 arrives
17081 Job 322  finishes at CPU
17087 Job 517  finishes at Disk 1
17090 Job 487  finishes at Disk 2
17092 Job 1182 arrives
17092 Job 769  finishes at CPU
17107 Job 770  finishes at CPU
17111 Job 1183 arrives
17126 Job 342  finishes at CPU
17127 Job 1184 arrives
17133 Job 519  finishes at Disk 1
17141 Job 1185 arrives
17143 Job 771  finishes at CPU
17153 Job 772  finishes at CPU
17153 Job 772  finishes
17155 Job 488  finishes at Disk 2
17157 Job 1186 arrives
17169 Job 1187 arrives
17171 Job 130  finishes at CPU
17180 Job 228  finishes at Disk 1
17181 Job 1188 arrives
17188 Job 773  finishes at CPU
17194 Job 1189 arrives
17200 Job 774  finishes at CPU
17204 Job 1190 arrives
17218 Job 489  finishes at Disk 2
17219 Job 60   finishes at CPU
17219 Job 1191 arrives
17219 Job 60   finishes
17225 Job 521  finishes at Disk 1
17237 Job 775  finishes at CPU
17237 Job 1192 arrives
17256 Job 776  finishes at CPU
17256 Job 1193 arrives
17267 Job 1194 arrives
17271 Job 324  finishes at CPU
17272 Job 523  finishes at Disk 1
17275 Job 37   finishes at Disk 2
17281 Job 1195 arrives
17284 Job 777  finishes at CPU
17293 Job 1196 arrives
17300 Job 345  finishes at CPU
17300 Job 345  finishes
17312 Job 1197 arrives
17317 Job 778  finishes at CPU
17326 Job 95   finishes at Disk 1
17330 Job 1198 arrives
17335 Job 495  finishes at Disk 2
17336 Job 779  finishes at CPU
17346 Job 1199 arrives
17346 Job 780  finishes at CPU
17360 Job 1200 arrives
17361 Job 325  finishes at CPU
17370 Job 1201 arrives
17377 Job 525  finishes at Disk 1
17378 Job 346  finishes at CPU
17383 Job 1202 arrives
17392 Job 496  finishes at Disk 2
17395 Job 1203 arrives
17397 Job 781  finishes at CPU
17407 Job 1204 arrives
17408 Job 782  finishes at CPU
17418 Job 57   finishes at CPU
17424 Job 1205 arrives
17430 Job 783  finishes at CPU
17430 Job 783  finishes
17431 Job 526  finishes at Disk 1
17443 Job 1206 arrives
17446 Job 141  finishes at CPU
17454 Job 202  finishes at Disk 2
17455 Job 1207 arrives
17464 Job 784  finishes at CPU
17466 Job 1208 arrives
17476 Job 1209 arrives
17477 Job 785  finishes at CPU
17478 Job 528  finishes at Disk 1
17489 Job 786  finishes at CPU
17489 Job 786  finishes
17491 Job 1210 arrives
17501 Job 1211 arrives
17503 Job 349  finishes at CPU
17503 Job 349  finishes
17514 Job 787  finishes at CPU
17518 Job 1212 arrives
17521 Job 500  finishes at Disk 2
17533 Job 788  finishes at CPU
17534 Job 214  finishes at Disk 1
17534 Job 1213 arrives
17544 Job 1214 arrives
17550 Job 789  finishes at CPU
17560 Job 1215 arrives
17560 Job 329  finishes at CPU
17571 Job 351  finishes at CPU
17573 Job 1216 arrives
17581 Job 501  finishes at Disk 2
17583 Job 1217 arrives
17588 Job 790  finishes at CPU
17593 Job 531  finishes at Disk 1
17593 Job 1218 arrives
17598 Job 791  finishes at CPU
17598 Job 791  finishes
17612 Job 1219 arrives
17617 Job 792  finishes at CPU
17617 Job 792  finishes
17627 Job 1220 arrives
17630 Job 143  finishes at CPU
17630 Job 143  finishes
17641 Job 1221 arrives
17642 Job 503  finishes at Disk 2
17649 Job 793  finishes at CPU
17650 Job 534  finishes at Disk 1
17652 Job 1222 arrives
17664 Job 1223 arrives
17667 Job 352  finishes at CPU
17680 Job 1224 arrives
17683 Job 794  finishes at CPU
17694 Job 795  finishes at CPU
17696 Job 1225 arrives
17702 Job 535  finishes at Disk 1
17704 Job 220  finishes at Disk 2
17709 Job 1226 arrives
17710 Job 796  finishes at CPU
17710 Job 796  finishes
17723 Job 1227 arrives
17728 Job 142  finishes at CPU
17739 Job 797  finishes at CPU
17742 Job 1228 arrives
17753 Job 333  finishes at CPU
17755 Job 536  finishes at Disk 1
17757 Job 1229 arrives
17768 Job 507  finishes at Disk 2
17768 Job 798  finishes at CPU
17774 Job 1230 arrives
17778 Job 799  finishes at CPU
17778 Job 799  finishes
17787 Job 1231 arrives
17795 Job 354  finishes at CPU
17795 Job 354  finishes
17801 Job 218  finishes at Disk 1
17802 Job 1232 arrives
17809 Job 800  finishes at CPU
17817 Job 1233 arrives
17823 Job 508  finishes at Disk 2
17825 Job 801  finishes at CPU
17830 Job 1234 arrives
17836 Job 335  finishes at CPU
17845 Job 1235 arrives
17848 Job 538  finishes at Disk 1
17853 Job 802  finishes at CPU
17856 Job 1236 arrives
17865 Job 803  finishes at CPU
17875 Job 1237 arrives
17877 Job 356  finishes at CPU
17888 Job 509  finishes at Disk 2
17893 Job 539  finishes at Disk 1
17894 Job 1238 arrives
17894 Job 804  finishes at CPU
17904 Job 1239 arrives
17911 Job 805  finishes at CPU
17923 Job 1240 arrives
17928 Job 337  finishes at CPU
17939 Job 1241 arrives
17945 Job 806  finishes at CPU
17945 Job 806  finishes
17950 Job 511  finishes at Disk 2
17951 Job 541  finishes at Disk 1
17952 Job 1242 arrives
17956 Job 357  finishes at CPU
17963 Job 1243 arrives
17968 Job 807  finishes at CPU
17968 Job 807  finishes
17976 Job 1244 arrives
17982 Job 808  finishes at CPU
17991 Job 1245 arrives
17998 Job 809  finishes at CPU
18004 Job 1246 arrives
18009 Job 545  finishes at Disk 1
18011 Job 222  finishes at Disk 2
18017 Job 810  finishes at CPU
18017 Job 810  finishes
18019 Job 1247 arrives
18030 Job 1248 arrives
18031 Job 58   finishes at CPU
18045 Job 1249 arrives
18045 Job 358  finishes at CPU
18057 Job 811  finishes at CPU
18060 Job 1250 arrives
18065 Job 514  finishes at Disk 2
18067 Job 546  finishes at Disk 1
18073 Job 812  finishes at CPU
18077 Job 1251 arrives
18090 Job 813  finishes at CPU
18095 Job 1252 arrives
18108 Job 814  finishes at CPU
18110 Job 1253 arrives
18118 Job 223  finishes at Disk 1
18123 Job 360  finishes at CPU
18128 Job 516  finishes at Disk 2
18128 Job 1254 arrives
18139 Job 339  finishes at CPU
18142 Job 1255 arrives
18151 Job 815  finishes at CPU
18161 Job 1256 arrives
18162 Job 548  finishes at Disk 1
18165 Job 816  finishes at CPU
18174 Job 1257 arrives
18176 Job 817  finishes at CPU
18176 Job 817  finishes
18190 Job 146  finishes at CPU
18192 Job 1258 arrives
18195 Job 518  finishes at Disk 2
18203 Job 818  finishes at CPU
18207 Job 1259 arrives
18211 Job 43   finishes at Disk 1
18214 Job 145  finishes at CPU
18221 Job 1260 arrives
18229 Job 819  finishes at CPU
18234 Job 1261 arrives
18247 Job 820  finishes at CPU
18247 Job 820  finishes
18248 Job 520  finishes at Disk 2
18251 Job 1262 arrives
18259 Job 551  finishes at Disk 1
18261 Job 1263 arrives
18263 Job 821  finishes at CPU
18263 Job 821  finishes
18275 Job 1264 arrives
18277 Job 822  finishes at CPU
18291 Job 1265 arrives
18293 Job 343  finishes at CPU
18298 Job 210  finishes at Disk 2
18302 Job 1266 arrives
18311 Job 362  finishes at CPU
18315 Job 553  finishes at Disk 1
18317 Job 1267 arrives
18321 Job 823  finishes at CPU
18331 Job 824  finishes at CPU
18335 Job 1268 arrives
18348 Job 825  finishes at CPU
18348 Job 1269 arrives
18350 Job 522  finishes at Disk 2
18359 Job 1270 arrives
18361 Job 554  finishes at Disk 1
18362 Job 68   finishes at CPU
18373 Job 1271 arrives
18377 Job 344  finishes at CPU
18387 Job 1272 arrives
18389 Job 826  finishes at CPU
18402 Job 524  finishes at Disk 2
18402 Job 1273 arrives
18406 Job 827  finishes at CPU
18414 Job 555  finishes at Disk 1
18416 Job 1274 arrives
18421 Job 828  finishes at CPU
18421 Job 828  finishes
18433 Job 829  finishes at CPU
18435 Job 1275 arrives
18449 Job 365  finishes at CPU
18449 Job 1276 arrives
18459 Job 1277 arrives
18465 Job 556  finishes at Disk 1
18466 Job 830  finishes at CPU
18469 Job 1278 arrives
18470 Job 15   finishes at Disk 2
18476 Job 347  finishes at CPU
18486 Job 831  finishes at CPU
18487 Job 1279 arrives
18497 Job 1280 arrives
18498 Job 832  finishes at CPU
18513 Job 1281 arrives
18514 Job 833  finishes at CPU
18518 Job 558  finishes at Disk 1
18527 Job 1282 arrives
18533 Job 366  finishes at CPU
18537 Job 231  finishes at Disk 2
18543 Job 1283 arrives
18551 Job 834  finishes at CPU
18558 Job 1284 arrives
18562 Job 230  finishes at Disk 1
18569 Job 348  finishes at CPU
18569 Job 1285 arrives
18582 Job 1286 arrives
18587 Job 835  finishes at CPU
18592 Job 527  finishes at Disk 2
18596 Job 1287 arrives
18604 Job 836  finishes at CPU
18609 Job 1288 arrives
18614 Job 107  finishes at Disk 1
18620 Job 837  finishes at CPU
18621 Job 1289 arrives
18632 Job 156  finishes at CPU
18639 Job 1290 arrives
18645 Job 838  finishes at CPU
18653 Job 1291 arrives
18654 Job 529  finishes at Disk 2
18658 Job 149  finishes at CPU
18663 Job 6    finishes at Disk 1
18669 Job 839  finishes at CPU
18670 Job 1292 arrives
18682 Job 158  finishes at CPU
18684 Job 1293 arrives
18698 Job 840  finishes at CPU
18700 Job 1294 arrives
18707 Job 41   finishes at Disk 2
18715 Job 841  finishes at CPU
18717 Job 1295 arrives
18722 Job 247  finishes at Disk 1
18728 Job 1296 arrives
18730 Job 350  finishes at CPU
18740 Job 1297 arrives
18746 Job 842  finishes at CPU
18753 Job 1298 arrives
18759 Job 370  finishes at CPU
18766 Job 1299 arrives
18768 Job 532  finishes at Disk 2
18770 Job 567  finishes at Disk 1
18776 Job 843  finishes at CPU
18785 Job 1300 arrives
18787 Job 844  finishes at CPU
18802 Job 1301 arrives
18804 Job 845  finishes at CPU
18816 Job 101  finishes at Disk 1
18819 Job 1302 arrives
18819 Job 150  finishes at CPU
18819 Job 150  finishes
18824 Job 533  finishes at Disk 2
18833 Job 1303 arrives
18838 Job 846  finishes at CPU
18843 Job 1304 arrives
18851 Job 372  finishes at CPU
18856 Job 1305 arrives
18864 Job 570  finishes at Disk 1
18868 Job 847  finishes at CPU
18874 Job 1306 arrives
18879 Job 100  finishes at Disk 2
18879 Job 848  finishes at CPU
18892 Job 1307 arrives
18898 Job 353  finishes at CPU
18906 Job 1308 arrives
18913 Job 849  finishes at CPU
18916 Job 251  finishes at Disk 1
18916 Job 1309 arrives
18929 Job 1310 arrives
18930 Job 374  finishes at CPU
18941 Job 1311 arrives
18944 Job 537  finishes at Disk 2
18946 Job 850  finishes at CPU
18946 Job 850  finishes
18952 Job 1312 arrives
18956 Job 851  finishes at CPU
18960 Job 572  finishes at Disk 1
18964 Job 1313 arrives
18974 Job 63   finishes at CPU
18974 Job 1314 arrives
18984 Job 852  finishes at CPU
18985 Job 1315 arrives
18997 Job 853  finishes at CPU
18997 Job 853  finishes
18998 Job 1316 arrives
19007 Job 573  finishes at Disk 1
19008 Job 97   finishes at Disk 2
19008 Job 1317 arrives
19009 Job 355  finishes at CPU
19020 Job 854  finishes at CPU
19021 Job 1318 arrives
19032 Job 855  finishes at CPU
19036 Job 1319 arrives
19051 Job 375  finishes at CPU
19053 Job 1320 arrives
19055 Job 575  finishes at Disk 1
19063 Job 856  finishes at CPU
19063 Job 856  finishes
19065 Job 1321 arrives
19066 Job 219  finishes at Disk 2
19077 Job 152  finishes at CPU
19080 Job 1322 arrives
19090 Job 857  finishes at CPU
19094 Job 1323 arrives
19105 Job 577  finishes at Disk 1
19108 Job 858  finishes at CPU
19113 Job 1324 arrives
19119 Job 859  finishes at CPU
19127 Job 1325 arrives
19133 Job 543  finishes at Disk 2
19133 Job 379  finishes at CPU
19146 Job 1326 arrives
19149 Job 860  finishes at CPU
19149 Job 860  finishes
19155 Job 579  finishes at Disk 1
19165 Job 1327 arrives
19167 Job 62   finishes at CPU
19179 Job 1328 arrives
19179 Job 861  finishes at CPU
19179 Job 861  finishes
19191 Job 66   finishes at CPU
19195 Job 1329 arrives
19197 Job 544  finishes at Disk 2
19205 Job 238  finishes at Disk 1
19206 Job 862  finishes at CPU
19210 Job 1330 arrives
19225 Job 863  finishes at CPU
19225 Job 863  finishes
19229 Job 1331 arrives
19243 Job 864  finishes at CPU
19245 Job 255  finishes at Disk 1
19246 Job 1332 arrives
19257 Job 239  finishes at Disk 2
19257 Job 359  finishes at CPU
19263 Job 1333 arrives
19267 Job 865  finishes at CPU
19280 Job 1334 arrives
19281 Job 163  finishes at CPU
19287 Job 582  finishes at Disk 1
19292 Job 866  finishes at CPU
19292 Job 866  finishes
19298 Job 1335 arrives
19308 Job 867  finishes at CPU
19310 Job 549  finishes at Disk 2
19315 Job 1336 arrives
19318 Job 868  finishes at CPU
19333 Job 869  finishes at CPU
19334 Job 584  finishes at Disk 1
19334 Job 1337 arrives
19347 Job 1338 arrives
19348 Job 64   finishes at CPU
19358 Job 1339 arrives
19366 Job 383  finishes at CPU
19374 Job 550  finishes at Disk 2
19376 Job 1340 arrives
19380 Job 586  finishes at Disk 1
19380 Job 870  finishes at CPU
19388 Job 1341 arrives
19394 Job 871  finishes at CPU
19394 Job 871  finishes
19404 Job 1342 arrives
19405 Job 872  finishes at CPU
19415 Job 1343 arrives
19417 Job 873  finishes at CPU
19417 Job 873  finishes
19423 Job 587  finishes at Disk 1
19429 Job 1344 arrives
19432 Job 92   finishes at Disk 2
19433 Job 153  finishes at CPU
19444 Job 874  finishes at CPU
19444 Job 874  finishes
19446 Job 1345 arrives
19456 Job 361  finishes at CPU
19462 Job 1346 arrives
19467 Job 875  finishes at CPU
19474 Job 1347 arrives
19479 Job 260  finishes at Disk 1
19480 Job 876  finishes at CPU
19487 Job 1348 arrives
19488 Job 45   finishes at Disk 2
19494 Job 877  finishes at CPU
19502 Job 1349 arrives
19512 Job 385  finishes at CPU
19512 Job 385  finishes
19518 Job 1350 arrives
19529 Job 878  finishes at CPU
19531 Job 590  finishes at Disk 1
19535 Job 1351 arrives
19540 Job 363  finishes at CPU
19541 Job 226  finishes at Disk 2
19548 Job 1352 arrives
19551 Job 879  finishes at CPU
19551 Job 879  finishes
19561 Job 1353 arrives
19569 Job 880  finishes at CPU
19569 Job 880  finishes
19575 Job 592  finishes at Disk 1
19580 Job 1354 arrives
19583 Job 881  finishes at CPU
19583 Job 881  finishes
19592 Job 557  finishes at Disk 2
19595 Job 1355 arrives
19600 Job 386  finishes at CPU
19606 Job 1356 arrives
19615 Job 594  finishes at Disk 1
19615 Job 882  finishes at CPU
19624 Job 1357 arrives
19626 Job 364  finishes at CPU
19638 Job 883  finishes at CPU
19643 Job 1358 arrives
19650 Job 884  finishes at CPU
19653 Job 246  finishes at Disk 2
19656 Job 1359 arrives
19661 Job 595  finishes at Disk 1
19668 Job 1360 arrives
19669 Job 166  finishes at CPU
19669 Job 166  finishes
19679 Job 1361 arrives
19679 Job 885  finishes at CPU
19692 Job 1362 arrives
19694 Job 886  finishes at CPU
19704 Job 1363 arrives
19705 Job 559  finishes at Disk 2
19711 Job 147  finishes at CPU
19711 Job 147  finishes
19716 Job 1364 arrives
19719 Job 596  finishes at Disk 1
19727 Job 887  finishes at CPU
19732 Job 1365 arrives
19746 Job 888  finishes at CPU
19746 Job 1366 arrives
19757 Job 1367 arrives
19762 Job 389  finishes at CPU
19767 Job 598  finishes at Disk 1
19774 Job 560  finishes at Disk 2
19774 Job 1368 arrives
19779 Job 889  finishes at CPU
19789 Job 367  finishes at CPU
19791 Job 1369 arrives
19802 Job 890  finishes at CPU
19806 Job 1370 arrives
19821 Job 891  finishes at CPU
19822 Job 600  finishes at Disk 1
19824 Job 1371 arrives
19831 Job 561  finishes at Disk 2
19836 Job 892  finishes at CPU
19840 Job 1372 arrives
19846 Job 167  finishes at CPU
19846 Job 167  finishes
19857 Job 1373 arrives
19857 Job 893  finishes at CPU
19869 Job 894  finishes at CPU
19871 Job 1374 arrives
19877 Job 601  finishes at Disk 1
19883 Job 895  finishes at CPU
19884 Job 1375 arrives
19893 Job 563  finishes at Disk 2
19896 Job 368  finishes at CPU
19901 Job 1376 arrives
19906 Job 896  finishes at CPU
19913 Job 1377 arrives
19925 Job 155  finishes at CPU
19927 Job 1378 arrives
19930 Job 250  finishes at Disk 1
19942 Job 897  finishes at CPU
19942 Job 897  finishes
19946 Job 1379 arrives
19957 Job 565  finishes at Disk 2
19957 Job 898  finishes at CPU
19957 Job 1380 arrives
19971 Job 1381 arrives
19976 Job 899  finishes at CPU
19978 Job 117  finishes at Disk 1
19985 Job 1382 arrives
19989 Job 393  finishes at CPU
20000 Simulation finishes
